"name","program","dept","section","id"
"Anders Berglund","animal","ieg","biology","F9TIbzAAAAAJ"
"Anna Qvarnström","animal","ieg","biology","IckBvJ4AAAAJ"
"Anssi Laurila","animal","ieg","biology","Y2xmWmsAAAAJ"
"Claus Rueffler","animal","ieg","biology","b28SPdgAAAAJ"
"Elisabeth Bolund","animal","ieg","biology","MaCMzZsAAAAJ"
"Frank Johansson","animal","ieg","biology","_Tc0wpkAAAAJ"
"Göran Arnqvist","animal","ieg","biology","pFcs3sYAAAAJ"
"Jacob Höglund","animal","ieg","biology","l10fyjcAAAAJ"
"Katerina Guschanski","animal","ieg","biology","fRsLA2gAAAAJ"
"Lars Gustafsson","animal","ieg","biology","J41nZzsAAAAJ"
"Martin Lind","animal","ieg","biology","o6TQ0OQAAAAJ"
"Per Alström","animal","ieg","biology","ZvcM3_kAAAAJ"
"Richard Svanbäck","animal","ieg","biology","zBUGzhoAAAAJ"
"Anna Rosling","evobio","ieg","biology","En06Y-IAAAAJ"
"Arild Husby","evobio","ieg","biology","NdRZvDsAAAAJ"
"Elina Immonen","evobio","ieg","biology","VbbCMMcAAAAJ"
"Hans Ellegren","evobio","ieg","biology","mMF6tLkAAAAJ"
"Niclas Backström","evobio","ieg","biology","4GtDWIsAAAAJ"
"Simone Immler","evobio","ieg","biology","Q9BuZK4AAAAJ"
"Eva Lindström","limno","ieg","biology","5OyboTEAAAAJ"
"Gesa Weyhenmeyer","limno","ieg","biology","nN_uvmkAAAAJ"
"Lars Tranvik","limno","ieg","biology","hPP_g6EAAAAJ"
"Peter Eklöv","limno","ieg","biology","JMywBREAAAAJ"
"Sebastian Sobek","limno","ieg","biology","Hzr_MOcAAAAJ"
"Silke Langenheder","limno","ieg","biology","EEuAEjIAAAAJ"
"Bob Muscarella","plant","ieg","biology","SuKDQfoAAAAJ"
"Brita M. Svensson","plant","ieg","biology","0DpuJsMAAAAJ"
"D. Magnus Eklund","plant","ieg","biology","GVA6tEkAAAAJ"
"Gustaf Granath","plant","ieg","biology","Li8BRSUAAAAJ"
"Håkan Rydin","plant","ieg","biology","II27EssAAAAJ"
"Jon Ågren","plant","ieg","biology","yxf8wX8AAAAJ"
"K. Charlotte Jandér","plant","ieg","biology","fBVG0lkAAAAJ"
"Laura Parducci","plant","ieg","biology","HVO6qjoAAAAJ"
"Martin Lascoux","plant","ieg","biology","5H_VfgQAAAAJ"
"Nina Sletvold","plant","ieg","biology","Mll0D3sAAAAJ"
"Sophie Karrenberg","plant","ieg","biology","cyP5SiUAAAAJ"
